Sentence,Polarity,Subjectivity,Source
"In the days after Abi died, we were told we were now prime candidates for family estrangement.",0.0,0.0,Belist.txt
I didn't need to be told how bad things were.,-0.6999999999999998,0.6666666666666666,Belist.txt
We are hardwired for that negative.,-0.3,0.4,Belist.txt
"Being wired in this way is actually really good for us, and served us well from an evolutionary perspective.",0.7,0.6000000000000001,Belist.txt
Being able to switch the focus of your attention to also include the good has been shown by science to be a really powerful strategy.,0.5,0.7416666666666667,Belist.txt
This is a question that's used a lot in good therapy.,0.7,0.6000000000000001,Belist.txt
"""This question can be applied to so many different contexts.",0.25,0.55,Belist.txt
"those are gone, too.",0.0,0.0,Belist.txt
"For me, those rituals are when I gather my energy, assume my work character and get into the right headspace to dive in.",0.2857142857142857,0.5357142857142857,Belist.txt
"To create a space where everyone can be heard, structure agendas, assign presentation rules and minimize brainstorming.",0.0,0.0,Belist.txt
"I felt like I was being told to do things, and I never got the answer to why.",0.0,0.0,Belist.txt
"For example, studies have found, that if both parents work, kids from poorer families are impacted positively, and kids from richer families are impacted less positively.",0.09595959595959595,0.38585858585858585,Belist.txt
"Do you think they are fixed at birth, or that they can be developed, like a muscle?",0.1,0.25,Belist.txt
"If you have a fixed mindset, meaning that you think your talents are locked in place, you might give up, assuming you've discovered  something you're not very good at.",-0.08461538461538458,0.3307692307692308,Belist.txt
"J. K. Rowling was rejected by twelve different publishers before one picked up ""Harry Potter.""",0.0,0.6,Belist.txt
"The Wright Brothers built on history's failed attempts at flight, including some of their own, before designing a successful airplane.",0.2833333333333333,0.75,Belist.txt
what's called depth-first processing ?,0.0,0.0,Belist.txt
"to focus, not be distracted.",0.0,0.0,Belist.txt
There's an amazing amount of stuff that's built into the brain.,0.6000000000000001,0.9,Belist.txt
"And when people are finished, they don't throw it away.",0.0,0.0,Belist.txt
I'm doing a lot; most of my talk is subconscious; it has been rehearsed and thought about a lot.,0.25,0.525,Belist.txt
"And when it's finished, you put it vertically, and now the tea is ?",0.0,0.0,Belist.txt
"And while most of the greatest social movements in history were powered purely by an idea and people's belief in that idea, real change and impact require resources.",0.3895238095238095,0.4733333333333333,Belist.txt
"Money is complicated, it makes everyone squeamish, it makes everyone act kind of weird.",-0.13333333333333333,0.9666666666666667,Belist.txt
"I worked with this CEO once, and I was hired to teach him how to talk to human people, like a human person.",0.0,0.1,Belist.txt
"So I went with him to meetings, and what would happen was, he was getting into such detail with the donors that their eyes were glazing over, and then after he was done with his 15-minute pitch, they literally would say ?",0.0,0.5,Belist.txt
You're asking on behalf of all of the people you serve or are touched by your genius.,0.0,0.0,Belist.txt
They are grown-ups.,0.0,0.0,Belist.txt
"Now, some say number seven has been counted twice.",0.0,0.0,Belist.txt
"When the life stress inventory was built, back then, a long-term relationship pretty much equated to a marriage.",0.15,0.39999999999999997,Belist.txt
"Well, I think it's because our policymakers don't believe that things like attraction and the way relationships are built is changeable or educable.",0.0,0.0,Belist.txt
"Indeed, and add to that the hookup culture, ergo apps like Tinder, and it's no great surprise that the 20-somethings that I work with will often talk to me about how it is often easier for them to have sex with somebody that they've met than have a meaningful conversation.",0.04999999999999999,0.625,Belist.txt
"That's a good thing, because the older you are when you get married, the lower your divorce rate.",0.37222222222222223,0.39444444444444443,Belist.txt
I'm often intrigued by why couples come in to see me after they've been married for 30 or 40 years.,0.25,0.25,Belist.txt
"Secondly, if, for example, you're out and you're being verbally attacked by somebody, or you're suffering from a really disabling illness, does your partner step up and do what needs to be done to leave you feeling cared for and protected?",0.1,0.1,Belist.txt
"Don't worry, these are also things that can be built in existing relationships.",0.0,0.0,Belist.txt
"I'm being led from checkpoint to checkpoint, and before each door opens, the door behind me slams shut.",-0.4,0.7,Belist.txt
"Their arms are strapped across their chests, flashes of anger in their eyes - I'm terrified and I'm thinking, They were worried about my almonds?",-0.7,0.2,Belist.txt
"Frustration sets in, communication constricts, tensions rise, trust evaporates, and collaboration is done.",0.0,0.0,Belist.txt
"Important things will be said because you are listening, and the better you listen, the better the people having the conversation will listen to each other.",0.31875,0.59375,Belist.txt
"Inmates are released into gang territory, often with no way to get home - if they have a home.",0.0,0.0,Belist.txt
"I didn't interfere, and they opened up collaboration that was unprecedented in Chicago.",0.6,0.9,Belist.txt
"This period is known as ""the Troubles.""",0.0,0.0,Belist.txt
"He shared his experience as a newcomer to Belfast, standing on a bus, exhausted after work, and suddenly being surrounded by a group of men.",-0.2,0.6,Belist.txt
"Now, these are men who have taken lives, who have devastated many families, in some cases their own, and now they start finishing each other's sentences about tolerance, inclusion and respect, and this builds and builds in the room until finally, I can't resist the irony, and so I announce, ""Well, mission accomplished.",0.23500000000000001,0.675,Belist.txt
"Yes, a lot of great technical work is being done, but there is a problem that we need to solve for a priori, before, if we want to really move the needle on those big problems.",0.25,0.28750000000000003,Belist.txt
"So you know there's a storm coming, the levee is broken, no one's put any money into it, you surround your home with sandbags.",-0.4,0.4,Belist.txt
I was raised on them.,0.0,0.0,Belist.txt
"Now, this isn't something that just has to be done at the Security Council chamber.",0.0,0.0,Belist.txt
Have you ever been robbed?,0.0,0.0,Belist.txt
And Karura Forest was saved.,0.0,0.0,Belist.txt
"When young men are willing to join gangs and brutalize their communities for a small fee, and women are raped on the way to work, and, when they report this, the perpetrators bribe their way out of jail, and when young girls have to sell their bodies to buy sanitary towels, you know the society is broken.",-0.05000000000000001,0.3916666666666666,Belist.txt
"In recent years, Kenya has been ranked amongst the top 10 most corrupt countries in the world.",0.125,0.5625,Belist.txt
"In a country where anti-corruption efforts have been frustrated and ignored and interfered with, we absolutely need new strategies for dealing with this vice.",-0.1212121212121212,0.5181818181818182,Belist.txt
"At some point, these behaviors are fostered by a culture that promotes individual gain over collective progress.",0.0,0.4,Belist.txt
"Now, here are three strategies that we are employing that we believe can be replicated in any school community.",0.0,0.0,Belist.txt
"When young children are able to model what it looks and feels like to deal with corruption, they are likely, when faced with a dilemma in their future, to model what they've been taught.",0.15,0.5375,Belist.txt
"Third, we need to build personal leadership in our children early to give them an opportunity to know what it looks like to call corruption out when they see it, what it feels like to stand up and be counted when they're needed and, for me, to make the more and most important connection between human suffering on one hand and corruption, greed and selfishness on the other.",0.171875,0.384375,Belist.txt
"And in the words of Baba Dioum of Senegal, ""In the final analysis, we will conserve only what we love, we will love only what we understand and we will understand only what we are taught.",0.16666666666666666,0.8666666666666667,Belist.txt
"Well, five years ago, I was diagnosed with Parkinson's disease.",0.0,0.0,Belist.txt
"But you can imagine that I was appalled to learn that women are largely left out of research trials, despite gender-specific medical findings having demonstrated that we are not actually just small men ?",-0.21000000000000002,0.3,Belist.txt
"This one is called ""On Donating My Brain to Science.""",0.0,0.0,Belist.txt
"Share me, hear me:I want to be used I want to be used I want to be used up.",0.0,0.0,Belist.txt
"And this one's called ""The Ghost Light.",0.4,0.7,Belist.txt
"Well, in a time when all of the water resources are spoken for, it's not going to be possible to rely on this tried and true way of providing ourselves with water.",0.175,0.825,Belist.txt
This figure here shows you the volume of water that could be collected in the city of San Jose if they could harvest the stormwater that fell within the city limits.,0.0,0.0,Belist.txt
"Well, the answer is you don't want to drink it until it's been treated a little bit.",-0.1875,0.5,Belist.txt
"The water that's captured in the quarry is slowly passed through a man-made wetland, and then it goes into that ball field there and percolates into the ground, recharging the drinking water aquifer of the city.",-0.30000000000000004,0.39999999999999997,Belist.txt
"And if the water's still not clean enough to drink after it's been through this natural treatment process, the city can treat it again when they pump if back out of the groundwater aquifers before they deliver it to people to drink.",-0.020833333333333336,0.4,Belist.txt
You've probably seen signs like this that tell you that the shrubbery and the highway median and the local golf course is being watered with water that used to be in a sewage treatment plant.,0.0,0.0,Belist.txt
"The ultraviolet light cleaves the hydrogen peroxide into two parts that are called hydroxyl radicals, and these hydroxyl radicals are very potent forms of oxygen that break down most organic chemicals.",0.3486111111111111,0.5347222222222223,Belist.txt
"After the water's been through this two-stage process, it's safe to drink.",0.5,0.5,Belist.txt
"The water comes into our treatment wetland, it's exposed to sunlight and algae and those break down the organic chemicals, remove the nutrients and inactivate the waterborne pathogens.",-0.15555555555555559,0.2888888888888889,Belist.txt
This picture shows you the largest seawater desalination plant in the Western hemisphere that's currently being built north of San Diego.,0.0,0.2,Belist.txt
"Compared to the seawater desalination plant that was built in Santa Barbara 25 years ago, this treatment plant will use about half the energy to produce a gallon of water.",-0.16666666666666666,0.16666666666666666,Belist.txt
"You know, we live in a world that's subjected to ever more stringent child safety regulations.",0.3181818181818182,0.5,Belist.txt
"The book is called ""50 Dangerous Things.""",-0.6,0.9,Belist.txt
"So practicing throwing things has been shown to stimulate the frontal and parietal lobes, which have to do with visual acuity, 3D understanding, and structural problem solving, so it helps develop their visualization skills and their predictive ability.",0.0,0.0,Belist.txt
"It's an important lesson for kids to understand, that some of these laws get broken by accident, and that laws have to be interpreted.",0.0,0.7,Belist.txt
"For example, if you're deciding whether to try out the newest diet craze, your reasons for doing so may be obscured by other factors, like claims that you'll see results in just two weeks.",-0.125,0.375,Belist.txt
Ask yourself why so many people are drawn to the policies of  the opposing political candidate.,0.25,0.3,Belist.txt
"I mean, maybe it's even possible to extend the coloring to more numbers.",0.0625,0.7291666666666666,Belist.txt
"It's not uncommon for students to graduate from high school believing that every math problem can be solved in 30 seconds or less, and if they don't know the answer, they're just not a math person.",-0.13555555555555557,0.5355555555555556,Belist.txt
It's also far more convincing to be shown you're wrong by your peers than told you're wrong by the teacher.,0.020000000000000018,0.86,Belist.txt
"In fact, all of the infinite numbers on the real line would be stacked up in those eight spots.",0.2,0.30000000000000004,Belist.txt
"That means before you even walk up to the lift to press the button, it's anticipated you being there.",0.0,0.0,Belist.txt
"It's easy for our imaginations to be occupied with science fiction, well, over the last 100 years.",0.21666666666666667,0.45,Belist.txt
"This system is comprised of 1.8 kilometers of stone walls shaped like a series of fishnets with the ""Us"" pointing down the river, allowing fish to be trapped at different heights of the water.",-0.11851851851851854,0.2962962962962963,Belist.txt
Which is to say it will be able to act without being told to act.,0.5,0.625,Belist.txt
How would all of that be manifested to you in the lift?,0.0,0.0,Belist.txt
"Users of the systems would want to understand how these things are regulated, managed and built.",0.0,0.0,Belist.txt
"Here, we're influenced by the work that was started way back in the 1940s.",0.0,0.0,Belist.txt
"Ultimately, between 1946 and 1953, ten conferences were held under the banner of cybernetics.",0.0,0.5,Belist.txt
"Participants in the Macy Conferences were concerned with how the mind worked, with ideas about intelligence and learning, and about the role of technology in our future.",0.0,0.125,Belist.txt
"Sadly, the conversations that started with the Macy Conference are often forgotten when the talk is about AI.",-0.5,1.0,Belist.txt
"In four years' time, it's estimated it'll be worth over 80 billion dollars.",0.3,0.1,Belist.txt
"Now if we look at what's going on in someone's head when they are being engaged, two quite different processes are occurring.",0.0,0.6,Belist.txt
"Your ambition is satisfied, but it's very beautiful.",0.75,1.0,Belist.txt
Every single thing that every single person who's ever played in a game has ever done can be measured.,-0.18095238095238098,0.27619047619047615,Belist.txt
"And what we do is make sure that every time a box is opened, there's something in it, some little reward that keeps people progressing and engaged.",0.15625,0.6944444444444444,Belist.txt
And the point is really that we evolved to be satisfied by the world in particular ways.,0.28888888888888886,0.5111111111111111,Belist.txt
something that's been talked about brilliantly by people like Jesse Schell earlier this year.,0.45,0.75,Belist.txt
"It's already been done at the University of Indiana in the States, among other places.",-0.125,0.375,Belist.txt
"As you probably know, the neurotransmitter associated with learning is called dopamine.",0.0,0.0,Belist.txt
It's associated with reward-seeking behavior.,0.0,0.0,Belist.txt
"But you know, sort of ""our brains have been manipulated; we're all addicts.""",0.0,0.0,Belist.txt
"The word ""addiction"" is thrown around.",0.0,0.0,Belist.txt
"In reward terms, it's not money; it's not being given cash ?",0.0,0.0,Belist.txt
So we're seeing financial reward being used to tackle the great issue of obesity.,0.4,0.375,Belist.txt
"But again, those rewards could be calibrated so precisely if we were able to use the vast expertise of gaming systems to just jack up that appeal, to take the data, to take the observations, of millions of human hours and plow that feedback into increasing engagement.",0.225,0.63125,Belist.txt
It's about how individual engagement can be transformed by the psychological and the neurological lessons we can learn from watching people that are playing games.,0.0,0.25,Belist.txt
"But how different are men and women, really?",0.1,0.4,Belist.txt
"So if we look at the data for men here, we see what is called a normal distribution curve.",0.15,0.6499999999999999,Belist.txt
"OK, so if you said A, then this means that you're a visual learner, and you learn best when information is presented in a visual style.",0.375,0.2,Belist.txt
"If you said B, it means you're an auditory learner, that you learn best when information is presented to you in an auditory format.",1.0,0.3,Belist.txt
Learning styles are made up and are not supported by scientific evidence.,0.0,0.0,Belist.txt
"We know this because in tightly controlled experimental studies when learners are given material to learn, either in their preferred style or an opposite style, it makes no difference at all to the amount of information they retain.",-0.02619047619047619,0.22857142857142856,Belist.txt
"No; what you need to do is match the material to be learned to the presentation format, not you.",0.0,0.0,Belist.txt
"But what is true is that ambidextrous people, or people who use both hands for different tasks, are more creative thinkers than one-handed people, because being ambidextrous involves having both sides of the brain talk to each other a lot, which seems to be involved in creative and flexible thinking.",0.28750000000000003,0.6875,Belist.txt
So the original study found that participants who were played Mozart music for a few minutes did better on a subsequent IQ test than participants who simply sat in silence.,0.135,0.3514285714285715,Belist.txt
"The story goes that participants were prepared to give what they believed to be fatal electric shocks to a fellow participant when they got a question wrong, just because someone in a white coat told them to.",-0.25,0.45,Belist.txt
"Secondly, the participants were told before the study and reminded any time they raised a concern, that although the shocks were painful, they were not fatal and indeed caused no permanent damage whatsoever.",-0.35,0.45,Belist.txt
"When they were interviewed after the study, all the participants said that they firmly believed that the learning and punishment study served a worthy scientific purpose which would have enduring gains for science, as opposed to the momentary, nonfatal discomfort caused to the participants.",0.06666666666666665,0.7,Belist.txt
"What we need to do is assess psychological theories by seeing what predictions they make, whether that is that listening to Mozart makes you smarter, that you learn better when information is presented in your preferred learning style or whatever it is, all of these are testable empirical predictions, and the only way we can make progress is to test these predictions against the data in tightly controlled experimental studies.",0.08690476190476189,0.3976190476190476,Belist.txt
A curious little invention is being talked about.,-0.14375,0.75,Belist.txt
It's called a microscope.,0.0,0.0,Belist.txt
"We still have this monster soup around, and it's taken hold in the developing countries around the tropical belt.",0.0,0.0,Belist.txt
"Just for malaria itself, there are a million deaths a year, and more than a billion people that need to be tested because they are at risk for different species of malarial infections.",0.25,0.55,Belist.txt
"When it's done, it looks something like this, has all the functionalities of a standard microscope, just like an XY stage, a place where a sample slide could go, for example right here.",0.14285714285714285,0.26785714285714285,Belist.txt
"We didn't want to change this, because this is the standard that's been optimized for over the years, and many health workers are actually used to this.",0.16666666666666666,0.19999999999999998,Belist.txt
"There is an XY stage, and then there is a focusing stage, which is a flexure mechanism that's built in paper itself that allows us to move and focus the lenses by micron steps.",0.0,0.0,Belist.txt
"So what's really interesting about this object, and my students hate when I do this, but I'm going to do this anyway, is these are rugged devices.",-0.15000000000000002,0.7,Belist.txt
You actually see how the lenses are cut together in the cross-section pattern.,0.0,0.1,Belist.txt
You get to see the beam the  way it's projected and bent.,0.0,0.0,Belist.txt
This is when we were thinking about the idea.,0.0,0.0,Belist.txt
We are crushed.,-0.1,0.1,Belist.txt
"Laughter)you will see that it can be defined as both ""grievous affliction,"" and, ""to be very much in love.""",-0.15000000000000002,0.8,Belist.txt
as if my entire well-being depended on him loving me back ?,0.19999999999999998,0.525,Belist.txt
This study from 1999 used blood tests to confirm that the serotonin levels of the newly in love very closely resembled the serotonin levels of people who had been diagnosed with obsessive-compulsive disorder.,0.35,0.44999999999999996,Belist.txt
